influencer_category,followers_count,engagement_rate,campaign_category,audience_match_score,previous_performance,match_label
Music,88000,4.23,Music,68,64,Moderate Match
Fitness,190000,8.12,Fitness,91,93,Strong Match
Technology,340000,5.67,Technology,84,80,Strong Match
Fashion,25000,4.34,Travel,38,44,Moderate Match
Food,110000,6.89,Food,82,85,Strong Match
Travel,270000,5.12,Travel,78,75,Strong Match
Gaming,95000,6.45,Gaming,76,73,Strong Match
Education,72000,5.23,Education,74,71,Strong Match
Lifestyle,38000,7.89,Fitness,69,66,Strong Match
Beauty,420000,6.34,Beauty,88,86,Strong Match
Music,55000,3.45,Technology,40,47,Moderate Match
Fitness,42000,5.56,Fitness,72,69,Strong Match
Technology,78000,4.89,Gaming,62,58,Moderate Match
Fashion,510000,8.67,Fashion,95,93,Strong Match
Food,33000,7.12,Food,77,74,Strong Match
Travel,120000,3.78,Lifestyle,55,52,Moderate Match
Gaming,68000,5.34,Gaming,71,68,Strong Match
Education,18000,6.45,Education,66,63,Strong Match
Lifestyle,92000,4.56,Travel,48,54,Moderate Match
Beauty,165000,7.78,Beauty,87,84,Strong Match
Music,210000,5.89,Music,80,77,Strong Match
Fitness,350000,9.34,Fitness,94,96,Strong Match
Technology,28000,2.45,Fashion,22,28,Low Match
Fashion,83000,6.12,Fashion,79,76,Strong Match
Food,260000,5.56,Food,83,81,Strong Match
Travel,47000,4.23,Travel,64,61,Moderate Match
Gaming,310000,8.89,Gaming,92,94,Strong Match
Education,95000,5.78,Education,78,75,Strong Match
Lifestyle,170000,6.34,Lifestyle,81,78,Strong Match
Beauty,72000,9.12,Beauty,90,88,Strong Match
Music,130000,4.67,Music,73,70,Strong Match
Fitness,15000,3.23,Gaming,30,36,Low Match
Technology,195000,6.78,Technology,85,82,Strong Match
Fashion,145000,5.34,Beauty,74,71,Strong Match
Food,58000,8.45,Food,86,84,Strong Match
Travel,380000,5.89,Travel,84,81,Strong Match
Gaming,42000,4.12,Technology,53,49,Moderate Match
Education,135000,7.23,Education,82,80,Strong Match
Lifestyle,65000,5.67,Fitness,67,64,Moderate Match
Beauty,290000,6.89,Beauty,89,87,Strong Match
Music,78000,3.34,Gaming,39,45,Moderate Match
Fitness,520000,7.45,Fitness,90,88,Strong Match
Technology,110000,5.12,Technology,77,74,Strong Match
Fashion,38000,8.78,Fashion,84,82,Strong Match
Food,145000,4.56,Travel,46,53,Moderate Match
Travel,210000,6.23,Travel,81,78,Strong Match
Gaming,185000,7.67,Gaming,86,84,Strong Match
Education,42000,3.45,Music,34,41,Low Match
Lifestyle,290000,6.78,Lifestyle,85,82,Strong Match
Beauty,130000,8.34,Beauty,91,89,Strong Match
Music,95000,5.56,Music,75,72,Strong Match
Fitness,78000,6.12,Fitness,78,75,Strong Match
Technology,450000,4.89,Technology,82,79,Strong Match
Fashion,92000,7.34,Beauty,80,77,Strong Match
Food,75000,6.67,Food,81,79,Strong Match
Travel,160000,4.78,Travel,73,70,Strong Match
Gaming,280000,9.45,Gaming,93,95,Strong Match
Education,58000,5.34,Education,71,68,Strong Match
Lifestyle,120000,7.12,Lifestyle,83,80,Strong Match
Beauty,85000,5.89,Fashion,63,60,Moderate Match
Music,170000,6.45,Music,79,76,Strong Match
Fitness,95000,8.67,Fitness,89,91,Strong Match
Technology,33000,3.56,Education,37,43,Moderate Match
Fashion,420000,6.23,Fashion,86,84,Strong Match
Food,28000,5.12,Food,68,65,Strong Match
Travel,88000,7.89,Travel,82,80,Strong Match
Gaming,145000,5.67,Gaming,78,75,Strong Match
Education,210000,6.34,Education,80,77,Strong Match
Lifestyle,48000,4.45,Gaming,42,48,Moderate Match
Beauty,560000,8.78,Beauty,94,92,Strong Match
Music,42000,3.12,Fashion,31,37,Low Match
Fitness,230000,7.23,Fitness,86,83,Strong Match
Technology,85000,6.56,Technology,80,77,Strong Match
Fashion,55000,5.78,Fashion,74,71,Strong Match
Food,380000,7.45,Food,87,85,Strong Match
Travel,135000,4.34,Lifestyle,58,55,Moderate Match
Gaming,92000,6.89,Gaming,79,76,Strong Match
Education,165000,5.56,Education,76,73,Strong Match
Lifestyle,310000,7.67,Lifestyle,88,85,Strong Match
Beauty,45000,6.12,Beauty,72,69,Strong Match
Music,250000,5.34,Music,81,78,Strong Match
Technology,58000,4.23,Travel,40,46,Moderate Match
Fashion,175000,8.45,Fashion,88,86,Strong Match
Food,92000,3.78,Music,36,42,Low Match
Travel,450000,6.56,Travel,85,82,Strong Match
Gaming,38000,5.12,Gaming,65,62,Moderate Match
Education,85000,7.34,Education,79,76,Strong Match
Lifestyle,195000,4.89,Travel,52,58,Moderate Match
Beauty,220000,7.23,Beauty,86,84,Strong Match
Music,110000,6.78,Music,78,75,Strong Match
Fitness,165000,5.45,Fitness,80,77,Strong Match
Technology,720000,7.89,Technology,89,87,Strong Match
Fashion,28000,3.67,Gaming,27,33,Low Match
Food,155000,6.34,Food,80,78,Strong Match
Travel,72000,5.78,Travel,72,69,Strong Match
Gaming,620000,8.12,Gaming,91,93,Strong Match
Education,45000,4.56,Education,67,64,Moderate Match
Lifestyle,82000,6.45,Lifestyle,77,74,Strong Match
Beauty,350000,9.34,Beauty,95,93,Strong Match
Music,65000,4.12,Education,43,49,Moderate Match
Fitness,410000,8.23,Fitness,92,90,Strong Match
Technology,145000,5.34,Technology,79,76,Strong Match
Fashion,310000,7.12,Fashion,87,85,Strong Match
Food,68000,5.67,Food,75,72,Strong Match
Travel,195000,6.89,Travel,83,80,Strong Match
Gaming,155000,4.78,Technology,59,56,Moderate Match
Education,120000,6.12,Education,77,74,Strong Match
Lifestyle,45000,3.34,Music,35,41,Low Match
Beauty,175000,7.56,Beauty,85,83,Strong Match
Music,290000,5.89,Music,82,79,Strong Match
Fitness,55000,4.67,Travel,44,50,Moderate Match
Technology,210000,6.34,Technology,83,80,Strong Match
Fashion,135000,8.89,Fashion,90,88,Strong Match
Food,420000,7.78,Food,89,87,Strong Match
Travel,310000,5.23,Travel,79,76,Strong Match
Gaming,85000,7.45,Gaming,81,78,Strong Match
Education,270000,5.67,Education,80,77,Strong Match
Lifestyle,155000,6.89,Fitness,75,72,Strong Match
Beauty,92000,5.34,Fashion,60,57,Moderate Match
Music,180000,7.12,Music,80,78,Strong Match
Fitness,720000,9.56,Fitness,96,98,Strong Match
Technology,42000,2.89,Music,24,30,Low Match
Fashion,88000,5.56,Beauty,70,67,Moderate Match
Food,310000,6.78,Food,84,82,Strong Match
Travel,58000,4.45,Gaming,37,43,Moderate Match
Gaming,450000,8.34,Gaming,90,88,Strong Match
Education,78000,5.12,Education,73,70,Strong Match
Lifestyle,230000,7.45,Lifestyle,86,83,Strong Match
Beauty,145000,6.67,Beauty,83,81,Strong Match
Music,95000,4.34,Travel,45,51,Moderate Match
Fitness,310000,7.67,Fitness,88,86,Strong Match
Technology,165000,5.89,Technology,81,78,Strong Match
Fashion,210000,6.34,Fashion,82,80,Strong Match
Food,85000,8.12,Food,85,83,Strong Match
Travel,420000,5.56,Travel,82,79,Strong Match
Gaming,135000,6.78,Gaming,80,77,Strong Match
Education,195000,4.89,Lifestyle,51,57,Moderate Match
Lifestyle,350000,8.23,Lifestyle,90,87,Strong Match
Beauty,65000,7.34,Beauty,81,79,Strong Match
Music,145000,5.12,Music,74,71,Strong Match
Fitness,88000,6.45,Fitness,79,76,Strong Match
Technology,520000,6.12,Technology,86,83,Strong Match
Fashion,45000,4.78,Travel,38,44,Moderate Match
Food,230000,7.56,Food,86,84,Strong Match
Travel,155000,5.34,Travel,76,73,Strong Match
Gaming,340000,7.89,Gaming,88,86,Strong Match
Education,110000,6.67,Education,78,75,Strong Match
Lifestyle,72000,5.23,Gaming,46,52,Moderate Match
Beauty,280000,8.56,Beauty,92,90,Strong Match
Music,210000,6.34,Music,81,78,Strong Match
Fitness,145000,5.78,Fitness,81,78,Strong Match
Technology,92000,4.45,Fashion,40,46,Moderate Match
Fashion,560000,7.23,Fashion,89,87,Strong Match
Food,55000,6.12,Food,74,71,Strong Match
Travel,280000,6.45,Travel,84,81,Strong Match
Gaming,72000,5.56,Gaming,72,69,Strong Match
Education,340000,7.12,Education,83,80,Strong Match
Lifestyle,95000,4.34,Education,43,49,Moderate Match
Beauty,190000,6.89,Beauty,84,82,Strong Match
Music,120000,5.67,Music,77,74,Strong Match
Fitness,210000,8.45,Fitness,90,92,Strong Match
Technology,78000,3.23,Gaming,33,39,Low Match
Fashion,165000,6.56,Fashion,81,79,Strong Match
Food,350000,5.89,Food,83,81,Strong Match
Travel,110000,7.34,Travel,80,77,Strong Match
Gaming,230000,6.12,Gaming,83,80,Strong Match
Education,55000,5.45,Education,71,68,Strong Match
Lifestyle,420000,7.78,Lifestyle,89,86,Strong Match
Beauty,78000,5.12,Travel,42,48,Moderate Match
Music,310000,6.89,Music,84,81,Strong Match
Fitness,33000,3.45,Fashion,26,32,Low Match
Technology,280000,7.45,Technology,87,84,Strong Match
Fashion,72000,5.67,Fashion,76,73,Strong Match
Food,120000,8.23,Food,87,85,Strong Match
Travel,340000,4.78,Travel,77,74,Strong Match
Gaming,165000,7.34,Gaming,84,82,Strong Match
Education,92000,6.56,Education,79,76,Strong Match
Lifestyle,135000,5.89,Lifestyle,80,77,Strong Match
Beauty,450000,8.67,Beauty,93,91,Strong Match
Music,78000,4.56,Gaming,41,47,Moderate Match
Fitness,185000,7.12,Fitness,84,82,Strong Match
Technology,120000,5.34,Technology,79,76,Strong Match
Fashion,280000,8.12,Beauty,85,83,Strong Match
Food,95000,6.45,Food,80,78,Strong Match
Travel,165000,5.12,Travel,75,72,Strong Match
Gaming,520000,9.23,Gaming,94,96,Strong Match
Education,145000,5.78,Education,77,74,Strong Match
Lifestyle,210000,6.34,Fitness,73,70,Strong Match
Beauty,135000,7.45,Beauty,85,83,Strong Match
Music,195000,5.56,Music,79,76,Strong Match
Fitness,110000,6.78,Fitness,82,80,Strong Match
Technology,350000,4.12,Technology,78,75,Strong Match
Fashion,95000,7.89,Fashion,84,82,Strong Match
Food,210000,5.34,Travel,47,53,Moderate Match
Travel,520000,6.67,Travel,87,84,Strong Match
Gaming,110000,5.89,Gaming,77,74,Strong Match
Education,230000,7.56,Education,82,80,Strong Match
Lifestyle,58000,4.78,Music,40,46,Moderate Match
Beauty,310000,6.12,Beauty,86,84,Strong Match
Music,135000,7.23,Music,81,78,Strong Match
Fitness,450000,8.89,Fitness,93,91,Strong Match
Technology,55000,3.45,Travel,29,35,Low Match
Fashion,350000,6.78,Fashion,85,83,Strong Match
Food,78000,7.67,Food,82,80,Strong Match
Travel,95000,5.23,Travel,71,68,Strong Match
Gaming,380000,7.12,Gaming,87,85,Strong Match
Education,165000,6.89,Education,81,78,Strong Match
Lifestyle,280000,5.56,Lifestyle,83,80,Strong Match
Beauty,55000,4.34,Gaming,35,41,Low Match
Music,220000,6.45,Music,80,77,Strong Match
Fitness,135000,5.12,Fitness,78,75,Strong Match
Technology,420000,7.34,Technology,86,83,Strong Match
Fashion,58000,6.12,Fashion,75,72,Strong Match
Food,280000,8.56,Food,90,88,Strong Match
Travel,175000,4.67,Lifestyle,53,59,Moderate Match
Gaming,210000,6.34,Gaming,82,79,Strong Match
Education,88000,5.23,Education,74,71,Strong Match
Lifestyle,340000,7.89,Lifestyle,88,85,Strong Match
Beauty,165000,8.12,Beauty,88,86,Strong Match
Music,92000,3.78,Fashion,34,40,Low Match
Fitness,230000,7.56,Fitness,87,85,Strong Match
Technology,135000,6.23,Technology,82,79,Strong Match
Fashion,420000,5.45,Fashion,83,81,Strong Match
Food,165000,6.89,Food,81,79,Strong Match
Travel,230000,7.12,Travel,83,80,Strong Match
Gaming,78000,8.45,Gaming,84,82,Strong Match
Education,310000,5.67,Education,80,77,Strong Match
Lifestyle,110000,4.12,Travel,44,50,Moderate Match
Beauty,240000,7.67,Beauty,89,87,Strong Match
Music,165000,6.12,Music,79,76,Strong Match
Fitness,92000,5.89,Fitness,79,77,Strong Match
Technology,230000,4.56,Gaming,50,56,Moderate Match
Fashion,175000,7.34,Fashion,83,81,Strong Match
Food,110000,5.78,Food,77,74,Strong Match
Travel,310000,6.45,Travel,84,81,Strong Match
Gaming,145000,5.23,Gaming,76,73,Strong Match
Education,195000,8.12,Education,84,81,Strong Match
Lifestyle,78000,6.67,Lifestyle,78,75,Strong Match
Beauty,120000,5.34,Fashion,56,53,Moderate Match
Music,280000,7.45,Music,83,80,Strong Match
Fitness,175000,6.34,Fitness,83,80,Strong Match
Technology,88000,5.67,Technology,78,75,Strong Match
Fashion,240000,6.89,Beauty,80,77,Strong Match
Food,340000,7.23,Food,86,84,Strong Match
Travel,145000,5.56,Travel,77,74,Strong Match
Gaming,420000,6.78,Gaming,88,85,Strong Match
Education,72000,4.45,Music,38,44,Moderate Match
Lifestyle,195000,7.34,Lifestyle,84,81,Strong Match
Beauty,88000,8.23,Beauty,87,85,Strong Match
Music,145000,5.12,Music,76,73,Strong Match
Fitness,310000,7.89,Fitness,89,87,Strong Match
Technology,175000,6.45,Technology,83,80,Strong Match
Fashion,110000,5.23,Fashion,77,74,Strong Match
Food,230000,6.12,Food,82,80,Strong Match
Travel,88000,4.89,Travel,69,66,Moderate Match
Gaming,310000,8.56,Gaming,91,89,Strong Match
Education,145000,5.34,Education,76,73,Strong Match
Lifestyle,230000,6.78,Fitness,76,73,Strong Match
Beauty,175000,7.12,Beauty,86,84,Strong Match
Music,110000,4.67,Travel,42,48,Moderate Match
Fitness,420000,8.34,Fitness,91,89,Strong Match
Technology,95000,5.12,Technology,78,75,Strong Match
Fashion,310000,7.56,Fashion,86,84,Strong Match
Food,88000,6.45,Food,79,77,Strong Match
Travel,175000,5.89,Travel,79,76,Strong Match
Gaming,230000,7.23,Gaming,85,82,Strong Match
Education,110000,6.12,Education,77,74,Strong Match
Lifestyle,310000,5.45,Lifestyle,83,80,Strong Match
Beauty,420000,8.89,Beauty,94,92,Strong Match
Music,175000,6.34,Music,80,77,Strong Match
Fitness,55000,4.23,Gaming,36,42,Moderate Match
Technology,310000,7.78,Technology,87,84,Strong Match
Fashion,88000,6.45,Fashion,79,77,Strong Match
Food,175000,5.12,Travel,45,51,Moderate Match
Travel,420000,7.34,Travel,87,84,Strong Match
Gaming,88000,6.12,Gaming,77,74,Strong Match
Education,230000,5.67,Education,79,76,Strong Match
Lifestyle,145000,7.89,Lifestyle,84,82,Strong Match
Beauty,310000,6.45,Beauty,87,85,Strong Match
Music,88000,5.34,Music,74,71,Strong Match
Fitness,230000,6.89,Fitness,85,83,Strong Match
Technology,145000,4.78,Fashion,42,48,Moderate Match
Fashion,175000,8.34,Fashion,87,85,Strong Match
Food,310000,6.67,Food,84,82,Strong Match
Travel,110000,5.23,Travel,74,71,Strong Match
Gaming,175000,7.56,Gaming,84,82,Strong Match
Education,310000,6.34,Education,82,79,Strong Match
Lifestyle,88000,5.12,Gaming,41,47,Moderate Match
Beauty,145000,7.89,Beauty,86,84,Strong Match
Music,230000,6.78,Music,82,79,Strong Match
Fitness,310000,8.12,Fitness,90,88,Strong Match
Technology,88000,3.45,Music,28,34,Low Match
Fashion,230000,5.89,Fashion,80,78,Strong Match
Food,145000,7.34,Food,83,81,Strong Match
Travel,310000,6.12,Travel,83,80,Strong Match
Gaming,88000,5.45,Gaming,74,71,Strong Match
Education,175000,7.67,Education,81,78,Strong Match
Lifestyle,310000,6.23,Lifestyle,85,82,Strong Match
Beauty,88000,8.45,Beauty,87,85,Strong Match
Music,145000,4.12,Fashion,37,43,Moderate Match
Fitness,175000,7.34,Fitness,84,82,Strong Match
Technology,230000,6.56,Technology,84,81,Strong Match
Fashion,310000,5.78,Beauty,73,70,Strong Match
Food,88000,6.89,Food,79,77,Strong Match
Travel,175000,7.45,Travel,83,80,Strong Match
Gaming,310000,8.23,Gaming,90,88,Strong Match
Education,88000,5.56,Education,74,71,Strong Match
Lifestyle,175000,6.45,Travel,54,60,Moderate Match
Beauty,230000,7.34,Beauty,87,85,Strong Match
Music,310000,5.89,Music,82,79,Strong Match
Fitness,88000,5.67,Fitness,78,75,Strong Match
Technology,175000,7.12,Technology,83,80,Strong Match
Fashion,88000,6.34,Fashion,78,76,Strong Match
Food,230000,8.67,Food,89,87,Strong Match
Travel,88000,4.56,Gaming,38,44,Moderate Match
Gaming,175000,6.89,Gaming,83,80,Strong Match
Education,230000,5.23,Education,78,75,Strong Match
Lifestyle,88000,7.56,Lifestyle,82,79,Strong Match
Beauty,175000,6.12,Beauty,83,81,Strong Match
Music,88000,7.89,Music,81,78,Strong Match
Fitness,230000,6.34,Fitness,84,82,Strong Match
Technology,88000,5.45,Technology,77,74,Strong Match
Fashion,175000,7.67,Fashion,84,82,Strong Match
Food,88000,4.23,Music,33,39,Low Match
Travel,230000,6.78,Travel,83,80,Strong Match
Gaming,88000,7.34,Gaming,81,78,Strong Match
Education,175000,6.45,Education,80,77,Strong Match
Lifestyle,230000,5.12,Fitness,58,55,Moderate Match
Beauty,88000,8.89,Beauty,89,87,Strong Match
Music,175000,6.56,Music,80,77,Strong Match
Fitness,88000,4.78,Travel,40,46,Moderate Match
Technology,175000,8.23,Technology,87,84,Strong Match
Fashion,88000,5.34,Fashion,74,71,Strong Match
Food,175000,7.12,Food,83,81,Strong Match
Travel,88000,6.45,Travel,77,74,Strong Match
Gaming,175000,5.89,Gaming,80,77,Strong Match
Education,88000,7.34,Education,79,76,Strong Match
Lifestyle,175000,6.12,Lifestyle,82,79,Strong Match
Beauty,88000,5.67,Fashion,52,58,Moderate Match
Music,175000,7.45,Music,82,79,Strong Match
Fitness,340000,8.56,Fitness,92,90,Strong Match
Technology,55000,2.34,Food,21,27,Low Match
Fashion,120000,6.78,Fashion,81,79,Strong Match
Food,195000,5.45,Food,79,76,Strong Match
Travel,65000,7.23,Travel,78,75,Strong Match
Gaming,290000,6.34,Gaming,85,83,Strong Match
Education,42000,4.56,Music,36,42,Low Match
Lifestyle,150000,7.89,Lifestyle,85,82,Strong Match
Beauty,210000,8.12,Beauty,90,88,Strong Match
Music,85000,3.45,Technology,32,38,Low Match
Fitness,150000,6.67,Fitness,82,80,Strong Match
Technology,410000,5.23,Technology,82,79,Strong Match
Fashion,75000,7.45,Beauty,79,77,Strong Match
Food,120000,8.34,Food,86,84,Strong Match
Travel,245000,4.89,Travel,76,73,Strong Match
Gaming,150000,7.78,Gaming,83,81,Strong Match
Education,195000,6.12,Education,79,76,Strong Match
Lifestyle,85000,5.34,Gaming,43,49,Moderate Match
Beauty,300000,7.23,Beauty,88,86,Strong Match
Music,120000,6.45,Music,78,75,Strong Match
Fitness,195000,7.89,Fitness,86,84,Strong Match
Technology,150000,4.67,Fashion,41,47,Moderate Match
Fashion,245000,6.12,Fashion,82,80,Strong Match
Food,85000,5.78,Food,76,73,Strong Match
Travel,150000,6.89,Travel,80,77,Strong Match
Gaming,245000,8.45,Gaming,89,87,Strong Match
Education,85000,5.23,Education,73,70,Strong Match
Lifestyle,245000,7.34,Lifestyle,86,83,Strong Match
Beauty,150000,6.56,Beauty,84,82,Strong Match
Music,245000,5.12,Travel,46,52,Moderate Match
Fitness,85000,8.12,Fitness,84,82,Strong Match
Technology,245000,6.78,Technology,84,81,Strong Match
Fashion,150000,5.45,Fashion,78,75,Strong Match
Food,245000,7.23,Food,85,83,Strong Match
Travel,85000,4.34,Lifestyle,48,54,Moderate Match
Gaming,150000,6.67,Gaming,81,78,Strong Match
Education,245000,7.89,Education,84,81,Strong Match
Lifestyle,150000,4.12,Music,38,44,Moderate Match
Beauty,245000,8.34,Beauty,91,89,Strong Match
Music,150000,7.12,Music,81,78,Strong Match
Fitness,245000,5.67,Fitness,83,80,Strong Match
Technology,85000,6.34,Technology,79,76,Strong Match
Fashion,195000,8.56,Fashion,89,87,Strong Match
Food,150000,4.89,Travel,43,49,Moderate Match
Travel,195000,7.45,Travel,84,81,Strong Match
Gaming,85000,5.56,Gaming,74,71,Strong Match
Education,150000,6.23,Education,78,75,Strong Match
Lifestyle,195000,8.67,Lifestyle,89,86,Strong Match
Beauty,85000,5.89,Fashion,56,53,Moderate Match
Music,195000,6.78,Music,81,78,Strong Match
Fitness,85000,3.45,Education,31,37,Low Match
Technology,195000,7.56,Technology,85,82,Strong Match
Fashion,85000,6.89,Fashion,80,78,Strong Match
Food,195000,8.23,Food,88,86,Strong Match
Travel,85000,5.34,Travel,72,69,Strong Match
Gaming,195000,7.12,Gaming,84,82,Strong Match
Education,85000,4.45,Gaming,37,43,Moderate Match
Lifestyle,195000,6.56,Lifestyle,83,80,Strong Match
Beauty,85000,7.78,Beauty,84,82,Strong Match
Music,195000,5.23,Music,78,75,Strong Match
Fitness,85000,6.45,Fitness,79,76,Strong Match
Technology,195000,8.89,Technology,89,87,Strong Match
Fashion,85000,4.56,Travel,35,41,Low Match
Food,195000,6.34,Food,81,79,Strong Match
Travel,85000,7.67,Travel,81,78,Strong Match
Gaming,195000,5.78,Gaming,80,77,Strong Match
Education,85000,6.89,Education,78,75,Strong Match
Lifestyle,195000,5.12,Fitness,55,61,Moderate Match
Beauty,85000,8.45,Beauty,87,85,Strong Match
Music,195000,4.34,Fashion,39,45,Moderate Match
Fitness,195000,7.23,Fitness,85,83,Strong Match
Technology,85000,5.56,Technology,78,75,Strong Match
Fashion,195000,6.67,Beauty,77,74,Strong Match
Food,85000,7.89,Food,83,81,Strong Match
Travel,195000,5.45,Travel,78,75,Strong Match
Gaming,85000,8.12,Gaming,84,82,Strong Match
Education,195000,6.78,Education,81,78,Strong Match
Lifestyle,85000,4.23,Education,39,45,Moderate Match
Beauty,195000,7.34,Beauty,86,84,Strong Match
Music,85000,6.12,Music,77,74,Strong Match
Fitness,195000,8.45,Fitness,90,88,Strong Match
Technology,85000,3.67,Music,27,33,Low Match
Fashion,195000,5.89,Fashion,80,78,Strong Match
Food,85000,6.56,Food,78,76,Strong Match
Travel,195000,7.78,Travel,84,81,Strong Match
Gaming,85000,4.89,Technology,47,53,Moderate Match
Education,195000,6.34,Education,80,77,Strong Match
Lifestyle,85000,7.45,Lifestyle,82,79,Strong Match
Beauty,195000,5.67,Beauty,82,80,Strong Match
Music,85000,8.23,Music,83,81,Strong Match
Fitness,195000,6.12,Fitness,83,80,Strong Match
Technology,85000,7.34,Technology,82,79,Strong Match
Fashion,195000,4.78,Gaming,38,44,Moderate Match
Food,85000,8.56,Food,86,84,Strong Match
Travel,195000,5.23,Travel,78,75,Strong Match
Gaming,85000,6.67,Gaming,78,75,Strong Match
Education,195000,7.89,Education,83,80,Strong Match
Lifestyle,85000,5.34,Travel,44,50,Moderate Match
Beauty,195000,8.12,Beauty,89,87,Strong Match
Music,85000,6.45,Music,78,75,Strong Match
Fitness,5200,1.45,Music,15,19,Low Match
Technology,8900,2.12,Fashion,20,25,Low Match
Fashion,3800,1.78,Gaming,17,21,Low Match
Food,7500,2.34,Technology,22,28,Low Match
Travel,6200,1.56,Education,19,23,Low Match
Gaming,4100,2.89,Fashion,24,30,Low Match
Education,9500,1.34,Travel,16,20,Low Match
Lifestyle,5800,2.67,Music,23,29,Low Match
Beauty,7200,1.89,Gaming,18,22,Low Match
Music,8400,2.45,Technology,21,27,Low Match
Fitness,3200,1.12,Lifestyle,14,18,Low Match
Technology,6700,2.78,Food,25,31,Low Match
Fashion,4500,1.67,Education,17,21,Low Match
Food,9200,2.23,Beauty,22,28,Low Match
Travel,5500,1.45,Music,16,20,Low Match
Gaming,7800,2.56,Lifestyle,23,29,Low Match
Education,3900,1.89,Fashion,18,22,Low Match
Lifestyle,6400,2.34,Technology,21,27,Low Match
Beauty,8100,1.56,Travel,17,21,Low Match
Music,4700,2.12,Food,20,26,Low Match
Fitness,5900,1.78,Gaming,18,22,Low Match
Technology,7300,2.67,Education,24,30,Low Match
Fashion,4200,1.34,Music,15,19,Low Match
Food,8600,2.89,Lifestyle,26,32,Low Match
Travel,3600,1.12,Fashion,14,18,Low Match
Gaming,6100,2.45,Food,22,28,Low Match
Education,4800,1.67,Music,17,21,Low Match
Lifestyle,7900,2.23,Gaming,21,27,Low Match
Beauty,3400,1.45,Education,16,20,Low Match
Music,6600,2.78,Travel,24,30,Low Match
Fitness,42000,4.12,Fashion,45,48,Moderate Match
Technology,38000,3.89,Lifestyle,42,46,Moderate Match
Fashion,51000,4.45,Technology,48,52,Moderate Match
Food,35000,3.67,Gaming,40,44,Moderate Match
Travel,48000,4.23,Education,47,50,Moderate Match
Gaming,33000,3.45,Food,39,43,Moderate Match
Education,55000,4.67,Travel,50,54,Moderate Match
Lifestyle,30000,3.23,Music,37,41,Moderate Match
Beauty,52000,4.34,Gaming,48,52,Moderate Match
Music,37000,3.78,Fashion,43,47,Moderate Match
Fitness,44000,4.56,Education,49,53,Moderate Match
Technology,31000,3.34,Beauty,38,42,Moderate Match
Fashion,49000,4.12,Travel,46,50,Moderate Match
Food,36000,3.89,Music,42,46,Moderate Match
Travel,53000,4.45,Fashion,49,53,Moderate Match
Gaming,28000,3.12,Lifestyle,36,40,Moderate Match
Education,46000,4.34,Food,48,52,Moderate Match
Lifestyle,34000,3.56,Technology,41,45,Moderate Match
Beauty,50000,4.23,Music,47,51,Moderate Match
Music,39000,3.67,Education,43,47,Moderate Match
Fitness,47000,4.78,Travel,50,54,Moderate Match
Technology,32000,3.45,Gaming,40,44,Moderate Match
Fashion,54000,4.56,Lifestyle,50,54,Moderate Match
Food,29000,3.23,Fashion,37,41,Moderate Match
Travel,45000,4.34,Music,48,52,Moderate Match
Gaming,35000,3.78,Education,43,47,Moderate Match
Education,52000,4.12,Beauty,47,51,Moderate Match
Lifestyle,31000,3.34,Food,38,42,Moderate Match
Beauty,48000,4.67,Technology,49,53,Moderate Match
Music,33000,3.56,Lifestyle,41,45,Moderate Match
